eidith_name,eidith_class,eidith_order,eidith_family,eidith_genus,eidith_species,itis_name,itis_class,itis_order,itis_family,itis_genus,itis_species,itis_subspecies,itis_binomial
Phalacrocorax carbo,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax,carbo,Phalacrocorax carbo,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax,carbo,NA,Phalacrocorax carbo
Anas strepera,Aves,Anseriformes,Anatidae,Anas,strepera,Anas strepera,Aves,Anseriformes,Anatidae,Anas,strepera,NA,Anas strepera
Aythya nyroca,Aves,Anseriformes,Anatidae,Aythya,nyroca,Aythya nyroca,Aves,Anseriformes,Anatidae,Aythya,nyroca,NA,Aythya nyroca
Mesophoyx intermedia,Aves,Pelecaniformes,Ardeidae,Mesophoyx,intermedia,Egretta intermedia,Aves,Pelecaniformes,Ardeidae,Egretta,intermedia,NA,Egretta intermedia
Anas clypeata,Aves,Anseriformes,Anatidae,Anas,clypeata,Anas clypeata,Aves,Anseriformes,Anatidae,Anas,clypeata,NA,Anas clypeata
Tringa ochropus,Aves,Charadriiformes,Scolopacidae,Tringa,ochropus,Tringa ochropus,Aves,Charadriiformes,Scolopacidae,Tringa,ochropus,NA,Tringa ochropus
Tringa stagnatilis,Aves,Charadriiformes,Scolopacidae,Tringa,stagnatilis,Tringa stagnatilis,Aves,Charadriiformes,Scolopacidae,Tringa,stagnatilis,NA,Tringa stagnatilis
Calidris alpina,Aves,Charadriiformes,Scolopacidae,Calidris,alpina,Calidris alpina,Aves,Charadriiformes,Scolopacidae,Calidris,alpina,NA,Calidris alpina
Anatidae sp.,Aves,Anseriformes,Anatidae,NA,NA,Anatidae sp.,Aves,Anseriformes,Anatidae,NA,NA,NA,NA
Aythya fuligula,Aves,Anseriformes,Anatidae,Aythya,fuligula,Aythya fuligula,Aves,Anseriformes,Anatidae,Aythya,fuligula,NA,Aythya fuligula
Chroicocephalus ridibundus,Aves,Charadriiformes,Laridae,Chroicocephalus,ridibundus,Chroicocephalus ridibundus,Aves,Charadriiformes,Laridae,Chroicocephalus,ridibundus,NA,Chroicocephalus ridibundus
Podiceps cristatus,Aves,Podicipediformes,Podicipedidae,Podiceps,cristatus,Podiceps cristatus,Aves,Podicipediformes,Podicipedidae,Podiceps,cristatus,NA,Podiceps cristatus
Tadorna tadorna,Aves,Anseriformes,Anatidae,Tadorna,tadorna,Tadorna tadorna,Aves,Anseriformes,Anatidae,Tadorna,tadorna,NA,Tadorna tadorna
Corvus macrorhynchos,Aves,Passeriformes,Corvidae,Corvus,macrorhynchos,Corvus macrorhynchos,Aves,Passeriformes,Corvidae,Corvus,macrorhynchos,NA,Corvus macrorhynchos
Calidris temminckii,Aves,Charadriiformes,Scolopacidae,Calidris,temminckii,Calidris temminckii,Aves,Charadriiformes,Scolopacidae,Calidris,temminckii,NA,Calidris temminckii
Anas querquedula,Aves,Anseriformes,Anatidae,Anas,querquedula,Anas querquedula,Aves,Anseriformes,Anatidae,Anas,querquedula,NA,Anas querquedula
Ardea cinerea,Aves,Pelecaniformes,Ardeidae,Ardea,cinerea,Ardea cinerea,Aves,Pelecaniformes,Ardeidae,Ardea,cinerea,NA,Ardea cinerea
Anas crecca,Aves,Anseriformes,Anatidae,Anas,crecca,Anas crecca,Aves,Anseriformes,Anatidae,Anas,crecca,NA,Anas crecca
Eurostopodus macrotis,Aves,Caprimulgiformes,Caprimulgidae,Eurostopodus,macrotis,Eurostopodus macrotis,Aves,Caprimulgiformes,Caprimulgidae,Eurostopodus,macrotis,NA,Eurostopodus macrotis
Manidae sp.,Mammalia,Pholidota,Manidae,NA,NA,Manidae sp.,Mammalia,Pholidota,Manidae,NA,NA,NA,NA
Ursidae sp.,Mammalia,Carnivora,Ursidae,NA,NA,Ursidae sp.,Mammalia,Carnivora,Ursidae,NA,NA,NA,NA
Tragulidae sp.,Mammalia,Artiodactyla,Tragulidae,NA,NA,Tragulidae sp.,Mammalia,Artiodactyla,Tragulidae,NA,NA,NA,NA
Rhizomys pruinosus,Mammalia,Rodentia,Muridae,Rhizomys,pruinosus,Rhizomys pruinosus,Mammalia,Rodentia,Spalacidae,Rhizomys,pruinosus,NA,Rhizomys pruinosus
Myotis keaysi,Mammalia,Chiroptera,Vespertilionidae,Myotis,keaysi,Myotis keaysi,Mammalia,Chiroptera,Vespertilionidae,Myotis,keaysi,NA,Myotis keaysi
Sturnella bellicosa,Aves,Passeriformes,Icteridae,Sturnella,bellicosa,Sturnella bellicosa,Aves,Passeriformes,Icteridae,Sturnella,bellicosa,NA,Sturnella bellicosa
Brotogeris versicolurus,Aves,Psittaciformes,Psittacidae,Brotogeris,versicolurus,Brotogeris versicolurus,Aves,Psittaciformes,Psittacidae,Brotogeris,versicolurus,NA,Brotogeris versicolurus
Cacajao calvus,Mammalia,Primates,Pitheciidae,Cacajao,calvus,Cacajao calvus,Mammalia,Primates,Pitheciidae,Cacajao,calvus,NA,Cacajao calvus
Aotus nigriceps,Mammalia,Primates,Aotidae,Aotus,nigriceps,Aotus nigriceps,Mammalia,Primates,Aotidae,Aotus,nigriceps,NA,Aotus nigriceps
Cairina moschata,Aves,Anseriformes,Anatidae,Cairina,moschata,Cairina moschata,Aves,Anseriformes,Anatidae,Cairina,moschata,NA,Cairina moschata
Mitu tuberosum,Aves,Galliformes,Cracidae,Mitu,tuberosum,Mitu tuberosum,Aves,Galliformes,Cracidae,Mitu,tuberosum,NA,Mitu tuberosum
Tinamus sp.,Aves,Tinamiformes,Tinamidae,Tinamus,NA,Tinamus sp.,Aves,Tinamiformes,Tinamidae,Tinamus,NA,NA,NA
Tayassu tajacu,Mammalia,Artiodactyla,Tayassuidae,Tayassu,tajacu,Pecari tajacu,Mammalia,Artiodactyla,Tayassuidae,Pecari,tajacu,NA,Pecari tajacu
Mazama gouazoubira,Mammalia,Artiodactyla,Cervidae,Mazama,gouazoupira,Mazama gouazoubira,Mammalia,Artiodactyla,Cervidae,Mazama,gouazoubira,NA,Mazama gouazoubira
Reptilia sp.,Reptilia,NA,NA,NA,NA,Reptilia sp.,Reptilia,NA,NA,NA,NA,NA,NA
Psophia sp.,Aves,Gruiformes,Psophiidae,Psophia,NA,Psophia sp.,Aves,Gruiformes,Psophiidae,Psophia,NA,NA,NA
Mimus longicaudatus,Aves,Passeriformes,Mimidae,Mimus,longicaudatus,Mimus longicaudatus,Aves,Passeriformes,Mimidae,Mimus,longicaudatus,NA,Mimus longicaudatus
Saguinus mystax,Mammalia,Primates,Callitrichidae,Saguinus,mystax,Saguinus mystax,Mammalia,Primates,Callitrichidae,Saguinus,mystax,NA,Saguinus mystax
Boa constrictor,Reptilia,Squamata,Boidae,Boa,constrictor,Boa constrictor,Reptilia,Squamata,Boidae,Boa,constrictor,NA,Boa constrictor
Scotoecus sp.,Mammalia,Chiroptera,Vespertilionidae,Scotoecus,NA,Scotoecus sp.,Mammalia,Chiroptera,Vespertilionidae,Scotoecus,NA,NA,NA
Tadarida sp.,Mammalia,Chiroptera,Molossidae,Tadarida,NA,Tadarida sp.,Mammalia,Chiroptera,Molossidae,Tadarida,NA,NA,NA
Chaerephon sp.,Mammalia,Chiroptera,Molossidae,Chaerephon,NA,Chaerephon sp.,Mammalia,Chiroptera,Molossidae,Chaerephon,NA,NA,NA
Stochomys longicaudatus,Mammalia,Rodentia,Muridae,Stochomys,longicaudatus,Stochomys longicaudatus,Mammalia,Rodentia,Muridae,Stochomys,longicaudatus,NA,Stochomys longicaudatus
Mus nannomys sp.,Mammalia,Rodentia,Muridae,Mus,Mus,Mus sp.,Mammalia,Rodentia,Muridae,Mus,NA,NA,NA
Anas domesticus,Aves,Anseriformes,Anatidae,Anas,domesticus,Anas platyrhynchos,Aves,Anseriformes,Anatidae,Anas,platyrhynchos,NA,Anas platyrhynchos
Anser anser,Aves,Anseriformes,Anatidae,Anser,anser,Anser anser,Aves,Anseriformes,Anatidae,Anser,anser,NA,Anser anser
Cyanocorax mystacalis,Aves,Passeriformes,Corvidae,Cyanocorax,mystacalis,Cyanocorax mystacalis,Aves,Passeriformes,Corvidae,Cyanocorax,mystacalis,NA,Cyanocorax mystacalis
Sicalis flaveola,Aves,Passeriformes,Emberizidae,Sicalis,flaveola,Sicalis flaveola,Aves,Passeriformes,Thraupidae,Sicalis,flaveola,NA,Sicalis flaveola
Sporophila luctuosa,Aves,Passeriformes,Emberizidae,Sporophila,luctuosa,Sporophila luctuosa,Aves,Passeriformes,Thraupidae,Sporophila,luctuosa,NA,Sporophila luctuosa
Pionites melanocephalus,Aves,Psittaciformes,Psittacidae,Pionites,melanocephalus,Pionites melanocephalus,Aves,Psittaciformes,Psittacidae,Pionites,melanocephalus,NA,Pionites melanocephalus
Sciurus stramineus,Mammalia,Rodentia,Sciuridae,Sciurus,stramineus,Sciurus stramineus,Mammalia,Rodentia,Sciuridae,Sciurus,stramineus,NA,Sciurus stramineus
Brotogeris pyrrhoptera,Aves,Psittaciformes,Psittacidae,Brotogeris,pyrrhoptera,Brotogeris pyrrhoptera,Aves,Psittaciformes,Psittacidae,Brotogeris,pyrrhoptera,NA,Brotogeris pyrrhoptera
Agapornis roseicollis,Aves,Psittaciformes,Psittacidae,Agapornis,roseicollis,Agapornis roseicollis,Aves,Psittaciformes,Psittacidae,Agapornis,roseicollis,NA,Agapornis roseicollis
Nymphicus hollandicus,Aves,Psittaciformes,Psittacidae,Nymphicus,hollandicus,Nymphicus hollandicus,Aves,Psittaciformes,Psittacidae,Nymphicus,hollandicus,NA,Nymphicus hollandicus
Meleagris gallopavo,Aves,Galliformes,Phasianidae,Meleagris,gallopavo,Meleagris gallopavo,Aves,Galliformes,Phasianidae,Meleagris,gallopavo,NA,Meleagris gallopavo
Cercopithecus mona wolfi,Mammalia,Primates,Cercopithecidae,Cercopithecus,mona,Cercopithecus mona,Mammalia,Primates,Cercopithecidae,Cercopithecus,mona,NA,Cercopithecus mona
Cercopithecus mona denti,Mammalia,Primates,Cercopithecidae,Cercopithecus,mona,Cercopithecus mona,Mammalia,Primates,Cercopithecidae,Cercopithecus,mona,NA,Cercopithecus mona
Cercocebus chrysogaster,Mammalia,Primates,Cercopithecidae,Cercocebus,chrysogaster,Cercocebus chrysogaster,Mammalia,Primates,Cercopithecidae,Cercocebus,chrysogaster,NA,Cercocebus chrysogaster
Papio cynocephalus,Mammalia,Primates,Cercopithecidae,Papio,cynocephalus,Papio cynocephalus,Mammalia,Primates,Cercopithecidae,Papio,cynocephalus,NA,Papio cynocephalus
Cercocebus sp.,Mammalia,Primates,Cercopithecidae,Cercocebus,NA,Cercocebus sp.,Mammalia,Primates,Cercopithecidae,Cercocebus,NA,NA,NA
Cercopithecus patas,Mammalia,Primates,Cercopithecidae,Cercopithecus,patas,Erythrocebus patas,Mammalia,Primates,Cercopithecidae,Erythrocebus,patas,NA,Erythrocebus patas
Cercopithecus hamlyni,Mammalia,Primates,Cercopithecidae,Cercopithecus,hamlyni,Cercopithecus hamlyni,Mammalia,Primates,Cercopithecidae,Cercopithecus,hamlyni,NA,Cercopithecus hamlyni
Nycteris sp.,Mammalia,Chiroptera,Nycteridae,Nycteris,NA,Nycteris sp.,Mammalia,Chiroptera,Nycteridae,Nycteris,NA,NA,NA
Crocidura goliath,Mammalia,Soricomorpha,Soricidae,Crocidura,goliath,Crocidura goliath,Mammalia,Soricomorpha,Soricidae,Crocidura,goliath,NA,Crocidura goliath
Nycticeinops schlieffeni,Mammalia,Chiroptera,Vespertilionidae,Nycticeinops,schlieffeni,Nycticeinops schlieffenii,Mammalia,Chiroptera,Vespertilionidae,Nycticeinops,schlieffenii,NA,Nycticeinops schlieffenii
Taphozous sp.,Mammalia,Chiroptera,Emballonuridae,Taphozous,NA,Taphozous sp.,Mammalia,Chiroptera,Emballonuridae,Taphozous,NA,NA,NA
Cyclopes didactylus,Mammalia,Pilosa,Cyclopedidae,Cyclopes,didactylus,Cyclopes didactylus,Mammalia,Pilosa,Cyclopedidae,Cyclopes,didactylus,NA,Cyclopes didactylus
Caiman crocodilus,Reptilia,Crocodilia,Alligatoridae,Caiman,crocodilus,Caiman crocodilus,Reptilia,Crocodilia,Alligatoridae,Caiman,crocodilus,NA,Caiman crocodilus
Amazona festiva,Aves,Psittaciformes,Psittacidae,Amazona,festiva,Amazona festiva,Aves,Psittaciformes,Psittacidae,Amazona,festiva,NA,Amazona festiva
Platemys platycephala,Reptilia,Testudines,Chelidae,Platemys,platycephala,Platemys platycephala,Reptilia,Testudines,Chelidae,Platemys,platycephala,NA,Platemys platycephala
Ortalis guttata,Aves,Galliformes,Cracidae,Ortalis,guttata,Ortalis guttata,Aves,Galliformes,Cracidae,Ortalis,guttata,NA,Ortalis guttata
Chelonoidis denticulata,Reptilia,Testudines,Testudinidae,Chelonoidis,denticulata,Chelonoidis denticulata,Reptilia,Testudines,Testudinidae,Chelonoidis,denticulata,NA,Chelonoidis denticulata
Cryptomys hottentotus,Mammalia,Rodentia,Bathyergidae,Cryptomys,hottentotus,Cryptomys hottentotus,Mammalia,Rodentia,Bathyergidae,Cryptomys,hottentotus,NA,Cryptomys hottentotus
Herpestes sp.,Mammalia,Carnivora,Herpestidae,Herpestes,NA,Herpestes sp.,Mammalia,Carnivora,Herpestidae,Herpestes,NA,NA,NA
Cercopithecus mitis,Mammalia,Primates,Cercopithecidae,Cercopithecus,mitis,Cercopithecus mitis,Mammalia,Primates,Cercopithecidae,Cercopithecus,mitis,NA,Cercopithecus mitis
Pan troglodytes troglodytes,Mammalia,Primates,Hominidae,Pan,troglodytes,Pan troglodytes troglodytes,Mammalia,Primates,Hominidae,Pan,troglodytes,troglodytes,Pan troglodytes
Taphozous melanopogon,Mammalia,Chiroptera,Emballonuridae,Taphozous,melanopogon,Taphozous melanopogon,Mammalia,Chiroptera,Emballonuridae,Taphozous,melanopogon,NA,Taphozous melanopogon
Megaderma spasma,Mammalia,Chiroptera,Megadermatidae,Megaderma,spasma,Megaderma spasma,Mammalia,Chiroptera,Megadermatidae,Megaderma,spasma,NA,Megaderma spasma
Hipposideros galeritus,Mammalia,Chiroptera,Hipposideridae,Hipposideros,galeritus,Hipposideros galeritus,Mammalia,Chiroptera,Hipposideridae,Hipposideros,galeritus,NA,Hipposideros galeritus
Rhinolophus malayanus,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus,malayanus,Rhinolophus malayanus,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus,malayanus,NA,Rhinolophus malayanus
Hesperoptenus tickelli,Mammalia,Chiroptera,Vespertilionidae,Hesperoptenus,tickelli,Hesperoptenus tickelli,Mammalia,Chiroptera,Vespertilionidae,Hesperoptenus,tickelli,NA,Hesperoptenus tickelli
Pipistrellus paterculus,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,paterculus,Pipistrellus paterculus,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,paterculus,NA,Pipistrellus paterculus
Hesperoptenus blanfordi,Mammalia,Chiroptera,Vespertilionidae,Hesperoptenus,blanfordi,Hesperoptenus blanfordi,Mammalia,Chiroptera,Vespertilionidae,Hesperoptenus,blanfordi,NA,Hesperoptenus blanfordi
Tragulus sp.,Mammalia,Artiodactyla,Tragulidae,Tragulus,,Tragulus sp.,Mammalia,Artiodactyla,Tragulidae,Tragulus,NA,NA,NA
Nycticebus sp.,Mammalia,Primates,Lorisidae,Nycticebus,NA,Nycticebus sp.,Mammalia,Primates,Lorisidae,Nycticebus,NA,NA,NA
Muntiacus sp.,Mammalia,Artiodactyla,Cervidae,Muntiacus,NA,Muntiacus sp.,Mammalia,Artiodactyla,Cervidae,Muntiacus,NA,NA,NA
Scotophilus heathii,Mammalia,Chiroptera,Vespertilionidae,Scotophilus,heathii,Scotophilus heathii,Mammalia,Chiroptera,Vespertilionidae,Scotophilus,heathii,NA,Scotophilus heathii
Tylonycteris pachypus,Mammalia,Chiroptera,Vespertilionidae,Tylonycteris,pachypus,Tylonycteris pachypus,Mammalia,Chiroptera,Vespertilionidae,Tylonycteris,pachypus,NA,Tylonycteris pachypus
Rhinolophus cornutus pumilus,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus,cornutus,Rhinolophus cornutus pumilus,Mammalia,Chiroptera,Rhinolophidae,Rhinolophus,cornutus,pumilus,Rhinolophus cornutus
Chaerephon plicata,Mammalia,Chiroptera,Molossidae,Chaerephon,plicata,Chaerephon plicatus plicatus,Mammalia,Chiroptera,Molossidae,Chaerephon,plicatus,plicatus,Chaerephon plicatus
Psophia crepitans,Aves,Gruiformes,Psophiidae,Psophia,crepitans,Psophia crepitans,Aves,Gruiformes,Psophiidae,Psophia,crepitans,NA,Psophia crepitans
Penelope jacquacu,Aves,Galliformes,Cracidae,Penelope,jacquacu,Penelope jacquacu,Aves,Galliformes,Cracidae,Penelope,jacquacu,NA,Penelope jacquacu
Brotogeris sanctithomae,Aves,Psittaciformes,Psittacidae,Brotogeris,sanctithomae,Brotogeris sanctithomae,Aves,Psittaciformes,Psittacidae,Brotogeris,sanctithomae,NA,Brotogeris sanctithomae
Epicrates cenchria,Reptilia,Squamata,Boidae,Epicrates,cenchria,Epicrates cenchria,Reptilia,Squamata,Boidae,Epicrates,cenchria,NA,Epicrates cenchria
Eunectes murinus,Reptilia,Squamata,Boidae,Eunectes,murinus,Eunectes murinus,Reptilia,Squamata,Boidae,Eunectes,murinus,NA,Eunectes murinus
Lagothrix cana,Mammalia,Primates,Atelidae,Lagothrix,cana,Lagothrix lagothricha cana,Mammalia,Primates,Atelidae,Lagothrix,lagothricha,cana,Lagothrix lagothricha
Epomophorus sp.,Mammalia,Chiroptera,Pteropodidae,Epomophorus,NA,Epomophorus sp.,Mammalia,Chiroptera,Pteropodidae,Epomophorus,NA,NA,NA
Pelomys sp.,Mammalia,Rodentia,Muridae,Pelomys,,Pelomys sp.,Mammalia,Rodentia,Muridae,Pelomys,NA,NA,NA
Lamottemys sp.,Mammalia,Rodentia,Muridae,Lamottemys,,Lamottemys sp.,Mammalia,Rodentia,Muridae,Lamottemys,NA,NA,NA
Steatomys sp.,Mammalia,Rodentia,Muridae,Steatomys,,Steatomys sp.,Mammalia,Rodentia,Nesomyidae,Steatomys,NA,NA,NA
Aythya ferina,Aves,Anseriformes,Anatidae,Aythya,ferina,Aythya ferina,Aves,Anseriformes,Anatidae,Aythya,ferina,NA,Aythya ferina
Limnodromus semipalmatus,Aves,Charadriiformes,Scolopacidae,Limnodromus,semipalmatus,Limnodromus semipalmatus,Aves,Charadriiformes,Scolopacidae,Limnodromus,semipalmatus,NA,Limnodromus semipalmatus
Acrocephalus stentoreus,Aves,Passeriformes,Acrocephalidae,Acrocephalus,stentoreus,Acrocephalus stentoreus,Aves,Passeriformes,Acrocephalidae,Acrocephalus,stentoreus,NA,Acrocephalus stentoreus
Egretta garzetta,Aves,Pelecaniformes,Ardeidae,Egretta,garzetta,Egretta garzetta,Aves,Pelecaniformes,Ardeidae,Egretta,garzetta,NA,Egretta garzetta
Genetta tigrina,Mammalia,Carnivora,Viverridae,Genetta,tigrina,Genetta tigrina,Mammalia,Carnivora,Viverridae,Genetta,tigrina,NA,Genetta tigrina
Molossus rufus,Mammalia,Chiroptera,Molossidae,Molossus,rufus,Molossus rufus,Mammalia,Chiroptera,Molossidae,Molossus,rufus,NA,Molossus rufus
Promops nasutus,Mammalia,Chiroptera,Molossidae,Promops,nasutus,Promops nasutus,Mammalia,Chiroptera,Molossidae,Promops,nasutus,NA,Promops nasutus
Helogale parvula,Mammalia,Carnivora,Herpestidae,Helogale,parvula,Helogale parvula,Mammalia,Carnivora,Herpestidae,Helogale,parvula,NA,Helogale parvula
Bandicota indica,Mammalia,Rodentia,Muridae,Bandicota,indica,Bandicota indica,Mammalia,Rodentia,Muridae,Bandicota,indica,NA,Bandicota indica
Herpestes edwardsi,Mammalia,Carnivora,Herpestidae,Herpestes,edwardsi,Herpestes edwardsi,Mammalia,Carnivora,Herpestidae,Herpestes,edwardsi,NA,Herpestes edwardsi
Vulpes bengalensis,Mammalia,Carnivora,Canidae,Vulpes,bengalensis,Vulpes bengalensis,Mammalia,Carnivora,Canidae,Vulpes,bengalensis,NA,Vulpes bengalensis
Felis chaus,Mammalia,Carnivora,Felidae,Felis,chaus,Felis chaus,Mammalia,Carnivora,Felidae,Felis,chaus,NA,Felis chaus
Lepus nigricollis,Mammalia,Lagomorpha,Leporidae,Lepus,nigricollis,Lepus nigricollis,Mammalia,Lagomorpha,Leporidae,Lepus,nigricollis,NA,Lepus nigricollis
Bradypus variegatus,Mammalia,Pilosa,Bradypodidae,Bradypus,variegatus,Bradypus variegatus,Mammalia,Pilosa,Bradypodidae,Bradypus,variegatus,NA,Bradypus variegatus
Cercopithecus sp.,Mammalia,Primates,Cercopithecidae,Cercopithecus,NA,Cercopithecus sp.,Mammalia,Primates,Cercopithecidae,Cercopithecus,NA,NA,NA
Potamochoerus sp.,Mammalia,Artiodactyla,Suidae,Potamochoerus,NA,Potamochoerus sp.,Mammalia,Artiodactyla,Suidae,Potamochoerus,NA,NA,NA
Calomys sp.,Mammalia,Rodentia,Muridae,Calomys,NA,Calomys sp.,Mammalia,Rodentia,Cricetidae,Calomys,NA,NA,NA
Callicebus oenanthe,Mammalia,Primates,Pitheciidae,Callicebus,oenanthe,Callicebus oenanthe,Mammalia,Primates,Pitheciidae,Callicebus,oenanthe,NA,Callicebus oenanthe
Tragelaphus sylvaticus,Mammalia,Artiodactyla,Bovidae,Tragelaphus,sylvaticus,Tragelaphus scriptus sylvaticus,Mammalia,Artiodactyla,Bovidae,Tragelaphus,scriptus,sylvaticus,Tragelaphus scriptus
Phyllostomus sp.,Mammalia,Chiroptera,Phyllostomidae,Phyllostomus,NA,Phyllostomus sp.,Mammalia,Chiroptera,Phyllostomidae,Phyllostomus,NA,NA,NA
Micronycteris microtis,Mammalia,Chiroptera,Phyllostomidae,Micronycteris,microtis,Micronycteris microtis,Mammalia,Chiroptera,Phyllostomidae,Micronycteris,microtis,NA,Micronycteris microtis
Alouatta sp.,Mammalia,Primates,Atelidae,Alouatta,NA,Alouatta sp.,Mammalia,Primates,Atelidae,Alouatta,NA,NA,NA
Tonatia saurophila,Mammalia,Chiroptera,Phyllostomidae,Tonatia,saurophila,Tonatia saurophila,Mammalia,Chiroptera,Phyllostomidae,Tonatia,saurophila,NA,Tonatia saurophila
Saguinus sp.,Mammalia,Primates,Callitrichidae,Saguinus,NA,Saguinus sp.,Mammalia,Primates,Callitrichidae,Saguinus,NA,NA,NA
Rhipidomys sp.,Mammalia,Rodentia,Muridae,Rhipidomys,NA,Rhipidomys sp.,Mammalia,Rodentia,Cricetidae,Rhipidomys,NA,NA,NA
Didelphis marsupialis,Mammalia,Didelphimorphia,Didelphidae,Didelphis,marsupialis,Didelphis marsupialis,Mammalia,Didelphimorphia,Didelphidae,Didelphis,marsupialis,NA,Didelphis marsupialis
Hipposideros scutinares,Mammalia,Chiroptera,Hipposideridae,Hipposideros,scutinares,Hipposideros scutinares,Mammalia,Chiroptera,Hipposideridae,Hipposideros,scutinares,NA,Hipposideros scutinares
Petaurillus kinlochii,Mammalia,Rodentia,Sciuridae,Petaurillus,kinlochii,Petaurillus kinlochii,Mammalia,Rodentia,Sciuridae,Petaurillus,kinlochii,NA,Petaurillus kinlochii
Leopoldamys sp.,Mammalia,Rodentia,Muridae,Leopoldamys,NA,Leopoldamys sp.,Mammalia,Rodentia,Muridae,Leopoldamys,NA,NA,NA
Petaurista elegans,Mammalia,Rodentia,Sciuridae,Petaurista,elegans,Petaurista elegans,Mammalia,Rodentia,Sciuridae,Petaurista,elegans,NA,Petaurista elegans
Apodemus sp.,Mammalia,Rodentia,Muridae,Apodemus,,Apodemus sp.,Mammalia,Rodentia,Muridae,Apodemus,NA,NA,NA
Ursus thibetanus,Mammalia,Carnivora,Ursidae,Ursus,thibetanus,Ursus thibetanus,Mammalia,Carnivora,Ursidae,Ursus,thibetanus,NA,Ursus thibetanus
Helarctos malayanus,Mammalia,Carnivora,Ursidae,Helarctos,malayanus,Helarctos malayanus,Mammalia,Carnivora,Ursidae,Helarctos,malayanus,NA,Helarctos malayanus
Ursus malayensis,Mammalia,Carnivora,Ursidae,Ursus,malayensis,Helarctos malayanus,Mammalia,Carnivora,Ursidae,Helarctos,malayanus,NA,Helarctos malayanus
Miniopterus sp.,Mammalia,Chiroptera,Miniopteridae,Miniopterus,NA,Miniopterus sp.,Mammalia,Chiroptera,Miniopteridae,Miniopterus,NA,NA,NA
Guttera edouardi,Aves,Galliformes,Numididae,Guttera,edouardi,Guttera pucherani edouardi,Aves,Galliformes,Numididae,Guttera,pucherani,edouardi,Guttera pucherani
Berylmys sp.,Mammalia,Rodentia,Muridae,Berylmys,NA,Berylmys sp.,Mammalia,Rodentia,Muridae,Berylmys,NA,NA,NA
Psophia leucoptera,Aves,Gruiformes,Psophiidae,Psophia,leucoptera,Psophia leucoptera,Aves,Gruiformes,Psophiidae,Psophia,leucoptera,NA,Psophia leucoptera
Monodelphis kunsi,Mammalia,Didelphimorphia,Didelphidae,Monodelphis,kunsi,Monodelphis kunsi,Mammalia,Didelphimorphia,Didelphidae,Monodelphis,kunsi,NA,Monodelphis kunsi
Micronycteris sp.,Mammalia,Chiroptera,Phyllostomidae,Micronycteris,NA,Micronycteris sp.,Mammalia,Chiroptera,Phyllostomidae,Micronycteris,NA,NA,NA
Kinosternon leucostomum,Reptilia,Testudines,Kinosternidae,Kinosternon,leucostomum,Kinosternon leucostomum,Reptilia,Testudines,Kinosternidae,Kinosternon,leucostomum,NA,Kinosternon leucostomum
Graydidascalus brachyurus,Aves,Psittaciformes,Psittacidae,Graydidascalus,brachyurus,Graydidascalus brachyurus,Aves,Psittaciformes,Psittacidae,Graydidascalus,brachyurus,NA,Graydidascalus brachyurus
Ara chloropterus,Aves,Psittaciformes,Psittacidae,Ara,chloropterus,Ara chloropterus,Aves,Psittaciformes,Psittacidae,Ara,chloropterus,NA,Ara chloropterus
Rhizomys sumatrensis,Mammalia,Rodentia,Muridae,Rhizomys,sumatrensis,Rhizomys sumatrensis,Mammalia,Rodentia,Spalacidae,Rhizomys,sumatrensis,NA,Rhizomys sumatrensis
Aratinga leucophthalmus,Aves,Psittaciformes,Psittacidae,Aratinga,leucophthalmus,Aratinga leucophthalma,Aves,Psittaciformes,Psittacidae,Aratinga,leucophthalma,NA,Aratinga leucophthalma
Aotus azarai,Mammalia,Primates,Aotidae,Aotus,azarai,Aotus azarae,Mammalia,Primates,Aotidae,Aotus,azarae,NA,Aotus azarae
Carollia castanea,Mammalia,Chiroptera,Phyllostomidae,Carollia,castanea,Carollia castanea,Mammalia,Chiroptera,Phyllostomidae,Carollia,castanea,NA,Carollia castanea
Tonatia bidens,Mammalia,Chiroptera,Phyllostomidae,Tonatia,bidens,Tonatia bidens,Mammalia,Chiroptera,Phyllostomidae,Tonatia,bidens,NA,Tonatia bidens
Chiroderma trinitatum,Mammalia,Chiroptera,Phyllostomidae,Chiroderma,trinitatum,Chiroderma trinitatum,Mammalia,Chiroptera,Phyllostomidae,Chiroderma,trinitatum,NA,Chiroderma trinitatum
Sturnira magna,Mammalia,Chiroptera,Phyllostomidae,Sturnira,magna,Sturnira magna,Mammalia,Chiroptera,Phyllostomidae,Sturnira,magna,NA,Sturnira magna
Micronycteris nicefori,Mammalia,Chiroptera,Phyllostomidae,Micronycteris,nicefori,Trinycteris nicefori,Mammalia,Chiroptera,Phyllostomidae,Trinycteris,nicefori,NA,Trinycteris nicefori
Micronycteris  sp.,Mammalia,Chiroptera,Phyllostomidae,Micronycteris,NA,Micronycteris sp.,Mammalia,Chiroptera,Phyllostomidae,Micronycteris,NA,NA,NA
